subject	glasses	component	bin	distance	offset
p3	neon	horizontal	16	0.549703391	0.041031287
p3	neon	horizontal	17	0.728631677	-0.077087158
p3	neon	horizontal	18	1.035295955	-0.001148608
p3	neon	horizontal	19	1.622756302	-0.090841088
p3	neon	horizontal	20	2.816940333	-0.120446283
p3	neon	vertical	1	0.123104721	-4.789891066
p3	neon	vertical	2	0.135373574	-5.899897586
p3	neon	vertical	3	0.140047415	-4.702212166
p3	neon	vertical	4	0.142683103	-4.617675811
p3	neon	vertical	5	0.14865186	-3.631433366
p3	neon	vertical	6	0.156364186	-2.745811021
p3	neon	vertical	7	0.160069897	-3.707361481
